MovieID,Title,Genres,ImdbID,Links,title,year,description,duration,director,writer,stars,ratings
697,Feeling Minnesota (1996),Drama|Romance,116289,https://www.imdb.com/title/tt0116289/,Feeling Minnesota,1996,An ex-convict and his bumbling crook brother fight for the same woman.,1h 39m,['Steven Baigelman'],['Steven Baigelman'],"['Keanu Reeves', ""Vincent D'Onofrio"", 'Cameron Diaz']",5.4
700,Angus (1995),Comedy,112368,https://www.imdb.com/title/tt0112368/,Angus,1995,"A miserable fat teenager secretly has a crush on the class beauty, ends up becoming the surprising participant to dance with her at a high school dance, meaning he's got to get his act together with the help of his best friend.",1h 30m,['Patrick Read Johnson'],"['Chris Crutcher', 'Jill Gordon']","['Charlie Talbert', 'George C. Scott', 'Kathy Bates']",6.7
702,Faces (1968),Drama,62952,https://www.imdb.com/title/tt0062952/,Faces,1968,"A middle-aged man leaves his wife for another woman. Shortly after, his ex-wife also begins a relationship with a younger partner. The film follows their struggles to find love amongst each other.",2h 10m,['John Cassavetes'],['John Cassavetes'],"['John Marley', 'Gena Rowlands', 'Lynn Carlin']",7.5
703,Boys (1996),Drama,115742,https://www.imdb.com/title/tt0115742/,Boys,1996,25 y.o. Patty is thrown off her horse and knocked out. Students from a boys' boarding school find her and smuggle her to John's room at the school as cops are looking for her at home.,1h 26m,['Stacy Cochran'],"['Stacy Cochran', 'James Salter']","['Winona Ryder', 'Lukas Haas', 'John C. Reilly']",4.9
704,"Quest, The (1996)",Action|Adventure,117420,https://www.imdb.com/title/tt0117420/,The Quest,1996,"A group of gentlemen of fortune visits a legendary ""Lost City"", located in Tibet. They plan to steal a priceless statue ""Golden Dragon"" during the martial arts tournament.",1h 35m,['Jean-Claude Van Damme'],"['Frank Dux', 'Jean-Claude Van Damme', 'Steven Klein']","['Jean-Claude Van Damme', 'Roger Moore', 'James Remar']",5.5
705,Cosi (1996),Comedy,115951,https://www.imdb.com/title/tt0115951/,Cosi,1996,Lewis is a young Sydney amateur theater director at his first experience: he is offered a job with a Governmental program for the rehabilitation of mentally ill patients in a Sydney institution for mentally ill. His project is overrun by one of the patients Roy who wants to put on stage Cosi Fan Tutte (Mozart). None of the patients in the cast is able to sing and none... Read all,1h 40m,['Mark Joffe'],['Louis Nowra'],"['Ben Mendelsohn', 'Barry Otto', 'Toni Collette']",6.6
707,Mulholland Falls (1996),Crime|Drama|Thriller,117107,https://www.imdb.com/title/tt0117107/,Mulholland Falls,1996,"In 1950's Los Angeles, a special crime squad of the LAPD investigates the murder of a young woman.",1h 47m,['Lee Tamahori'],"['Peter Dexter', 'Floyd Mutrux']","['Nick Nolte', 'Melanie Griffith', 'Jennifer Connelly']",6.3
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,117979,https://www.imdb.com/title/tt0117979/,The Truth About Cats & Dogs,1996,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,1h 37m,['Michael Lehmann'],['Audrey Wells'],"['Uma Thurman', 'Janeane Garofalo', 'Ben Chaplin']",6.3
709,Oliver & Company (1988),Adventure|Animation|Children|Comedy|Musical,95776,https://www.imdb.com/title/tt0095776/,Oliver & Company,1988,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,1h 14m,['George Scribner'],"['Jim Cox', 'Tim Disney', 'James Mangold']","['Joey Lawrence', 'Billy Joel', 'Cheech Marin']",6.6
710,Celtic Pride (1996),Comedy,115851,https://www.imdb.com/title/tt0115851/,Celtic Pride,1996,Two over-loyal Celtic fans kidnap their opponent's star player in order to guarantee their team the championship.,1h 31m,['Tom DeCerchio'],"['Judd Apatow', 'Colin Quinn']","['Damon Wayans', 'Daniel Stern', 'Dan Aykroyd']",5.3
711,Flipper (1996),Adventure|Children,116322,https://www.imdb.com/title/tt0116322/,Flipper,1996,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,1h 35m,"['Alan Shapiro', 'Shelly Hatton']","['Ricou Browning', 'Jack Cowden', 'Arthur Weiss']","['Paul Hogan', 'Elijah Wood', 'Jonathan Banks']",5.3
714,Dead Man (1995),Drama|Mystery|Western,112817,https://www.imdb.com/title/tt0112817/,Dead Man,1995,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",2h 1m,['Jim Jarmusch'],['Jim Jarmusch'],"['Johnny Depp', 'Gary Farmer', 'Crispin Glover']",7.5
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Drama|Romance,113362,https://www.imdb.com/title/tt0113362/,The Horseman on the Roof,1995,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",1h 58m,['Jean-Paul Rappeneau'],"['Jean Giono', 'Jean-Paul Rappeneau', 'Nina Companeez']","['Olivier Martinez', 'Juliette Binoche', 'Pierre Arditi']",7.0
716,Switchblade Sisters (1975),Crime,73778,https://www.imdb.com/title/tt0073778/,Switchblade Sisters,1975,The leader of an inner-city girl gang is challenged when a new girl moves into the neighborhood.,1h 31m,['Jack Hill'],"['F.X. Maier', 'Jack Hill', 'John Prizer']","['Robbie Lee', 'Joanne Nail', 'Monica Gayle']",6.5
718,"Visitors, The (Les Visiteurs) (1993)",Comedy|Fantasy|Sci-Fi,108500,https://www.imdb.com/title/tt0108500/,Les visiteurs,1993,"A medieval knight and his servant ask a familiar wizard to move them back in time to prevent father-in-law's accidentally killing. Instead, they fly away to the 20th century.",1h 47m,['Jean-Marie PoirÃ©'],"['Christian Clavier', 'Jean-Marie PoirÃ©']","['Christian Clavier', 'Jean Reno', 'ValÃ©rie Lemercier']",7.0
719,Multiplicity (1996),Comedy,117108,https://www.imdb.com/title/tt0117108/,Multiplicity,1996,A man who never has enough time for the things he wants to do is offered the opportunity to have himself duplicated.,1h 57m,['Harold Ramis'],"['Chris Miller', 'Mary Hale', 'Lowell Ganz']","['Michael Keaton', 'Andie MacDowell', 'Zack Duhame']",6.1
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,118114,https://www.imdb.com/title/tt0118114/,Wallace & Gromit: The Best of Aardman Animation,1996,"Anthology of Aardman Animation short films released in theaters in 1996, centered on the new release of the third Wallace & Gromit short, ""A Close Shave."" Includes: ""A Close Shave,"" ""Creature Comforts"" and ""Heat Electric Commercials"" by Nick Park; ""Rex the Runt: How Dinosaurs Became Extinct"", ""Rex the Runt: Dreams"" and ""Ident"" by Richard Goleszowski; ""Wat's Pig"" and ""My Baby Just Cares For Me"" by Peter Lord; ""Early Bird"" by Peter Lord and David Sproxton; ""Pib and Pog"" directed by Peter Peake",1h 15m,['Nick Park'],[],[],
722,"Haunted World of Edward D. Wood Jr., The (1995)",Documentary,113270,https://www.imdb.com/title/tt0113270/,The Haunted World of Edward D. Wood Jr.,1995,How was it possible that a movie like Plan 9 from Outer Space (1957) could be made? This documentary about Edward D. Wood Jr.'s masterpiece gives the answer.,1h 29m,['Brett Thompson'],['Brett Thompson'],"['Maila Nurmi', 'Dolores Fuller', 'Paul Marco']",7.2
724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller,115963,https://www.imdb.com/title/tt0115963/,The Craft,1996,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",1h 41m,['Andrew Fleming'],"['Peter Filardi', 'Andrew Fleming']","['Robin Tunney', 'Fairuza Balk', 'Neve Campbell']",6.4
725,"Great White Hype, The (1996)",Comedy,116448,https://www.imdb.com/title/tt0116448/,The Great White Hype,1996,"The boxing champ's promoter thinks, change is needed. He finds the one man who's beaten his black champ (at 17), a white man now in a rock band. Like Rocky, he trains heavily whereas the champ slacks.",1h 31m,['Reginald Hudlin'],"['Tony Hendra', 'Ron Shelton']","['Samuel L. Jackson', 'Jeff Goldblum', 'Damon Wayans']",5.5
726,Last Dance (1996),Drama,116827,https://www.imdb.com/title/tt0116827/,Last Dance,1996,A lawyer assigned to the clemency case of a woman on death row finds himself forming a deep friendship with her while he tries to prevent her impending execution.,1h 43m,['Bruce Beresford'],"['Steven Haft', 'Ron Koslow']","['Sharon Stone', 'Rob Morrow', 'Randy Quaid']",5.7
728,Cold Comfort Farm (1995),Comedy,112701,https://www.imdb.com/title/tt0112701/,Cold Comfort Farm,1995,"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.",1h 45m,['John Schlesinger'],"['Malcolm Bradbury', 'Stella Gibbons']","['Eileen Atkins', 'Kate Beckinsale', 'Sheila Burrell']",7.2
731,Heaven's Prisoners (1996),Crime|Thriller,116508,https://www.imdb.com/title/tt0116508/,Heaven's Prisoners,1996,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.",2h 12m,['Phil Joanou'],"['James Lee Burke', 'Harley Peyton', 'Scott Frank']","['Alec Baldwin', 'Kelly Lynch', 'Mary Stuart Masterson']",5.8
732,Original Gangstas (1996),Crime,117260,https://www.imdb.com/title/tt0117260/,Original Gangstas,1996,"When a gang shoots his father, Bookman (Fred Williamson) returns to his hometown, rounds up some of his own people and begins an all-out war to restore the neighborhood to its rightful sense of justice.",1h 39m,"['Larry Cohen', 'Fred Williamson']",['Aubrey K. Rattan'],"['Fred Williamson', 'Jim Brown', 'Pam Grier']",5.6
733,"Rock, The (1996)",Action|Adventure|Thriller,117500,https://www.imdb.com/title/tt0117500/,The Rock,1996,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",2h 16m,['Michael Bay'],"['David Weisberg', 'Douglas Cook', 'Mark Rosner']","['Sean Connery', 'Nicolas Cage', 'Ed Harris']",7.4
735,Cemetery Man (Dellamorte Dellamore) (1994),Horror,109592,https://www.imdb.com/title/tt0109592/,Dellamorte Dellamore,1994,A cemetery man must kill the dead a second time when they become zombies.,1h 45m,['Michele Soavi'],"['Tiziano Sclavi', 'Gianni Romoli']","['Rupert Everett', 'FranÃ§ois Hadji-Lazaro', 'Anna Falchi']",7.1
736,Twister (1996),Action|Adventure|Romance|Thriller,117998,https://www.imdb.com/title/tt0117998/,Twister,1996,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",1h 53m,['Jan de Bont'],"['Michael Crichton', 'Anne-Marie Martin']","['Helen Hunt', 'Bill Paxton', 'Cary Elwes']",6.4
737,Barb Wire (1996),Action|Sci-Fi,115624,https://www.imdb.com/title/tt0115624/,Barb Wire,1996,"During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.",1h 38m,['David Hogan'],"['Chris Warner', 'Ilene Chaiken', 'Chuck Pfarrer']","['Pamela Anderson', 'Amir AboulEla', 'Adriana Alexander']",3.4
741,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi,113568,https://www.imdb.com/title/tt0113568/,Ghost in the Shell,1995,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,1h 23m,['Mamoru Oshii'],"['Shirow Masamune', 'Kazunori ItÃ´']","['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ãtsuka']",7.9
742,Thinner (1996),Horror|Thriller,117894,https://www.imdb.com/title/tt0117894/,Thinner,1996,An obese attorney is cursed by a gypsy to rapidly and uncontrollably lose weight.,1h 33m,['Tom Holland'],"['Stephen King', 'Michael McDowell', 'Tom Holland']","['Robert John Burke', 'Joe Mantegna', 'Lucinda Jenney']",5.7
743,Spy Hard (1996),Comedy,117723,https://www.imdb.com/title/tt0117723/,Spy Hard,1996,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot K.G.B. Agent Veronique Ukrinsky to find Rancor and save the world.",1h 21m,['Rick Friedberg'],"['Jason Friedberg', 'Aaron Seltzer', 'Rick Friedberg']","['Leslie Nielsen', 'Nicollette Sheridan', 'Charles Durning']",5.3
745,"Close Shave, A (1995)",Animation|Children|Comedy,112691,https://www.imdb.com/title/tt0112691/,A Close Shave,1995,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.,30m,['Nick Park'],"['Bob Baker', 'Nick Park']","['Peter Sallis', 'Anne Reid', 'Justin Fletcher']",8.1
746,Force of Evil (1948),Film-Noir,40366,https://www.imdb.com/title/tt0040366/,Force of Evil,1948,"An unethical lawyer, with an older brother he wants to help, becomes a partner with a client in the numbers racket.",1h 19m,['Abraham Polonsky'],"['Abraham Polonsky', 'Ira Wolfert']","['John Garfield', 'Thomas Gomez', 'Marie Windsor']",7.2
747,"Stupids, The (1996)",Comedy,117768,https://www.imdb.com/title/tt0117768/,The Stupids,1996,"An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their ""stolen"" garbage.",1h 34m,['John Landis'],"['James Marshall', 'Harry Allard', 'Brent Forrester']","['Tom Arnold', 'Jessica Lundy', 'Bug Hall']",4.2
748,"Arrival, The (1996)",Action|Sci-Fi|Thriller,115571,https://www.imdb.com/title/tt0115571/,The Arrival,1996,"Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.",1h 55m,['David Twohy'],['David Twohy'],"['Charlie Sheen', 'Lindsay Crouse', 'Richard Schiff']",6.2
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Comedy|War,57012,https://www.imdb.com/title/tt0057012/,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1h 35m,['Stanley Kubrick'],"['Stanley Kubrick', 'Terry Southern', 'Peter George']","['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",8.4
751,Careful (1992),Comedy|Horror,103926,https://www.imdb.com/title/tt0103926/,Careful,1992,"The wary residents of a 19th century mountain village must tread carefully and speak softly lest they cause an avalanche. Sexual frenzies teem in this world of repression, setting off incestuous love triangles with deadly consequences.",1h 40m,['Guy Maddin'],"['Guy Maddin', 'George Toles']","['Kyle McCulloch', 'Gosia Dobrowolska', 'Sarah Neville']",7.0
753,"Month by the Lake, A (1995)",Comedy|Drama|Romance,113849,https://www.imdb.com/title/tt0113849/,A Month by the Lake,1995,"At a Lake Como resort, Miss Bentley, an attractive older guest, meets a handsome, well-to-do bachelor. But when he's more interested in a beautiful young flirt, the mischievous Miss Bentley goes to outrageous lengths to reel in her catch.",1h 32m,['John Irvin'],"['H.E. Bates', 'Trevor Bentham', 'Josep Llurba']","['Vanessa Redgrave', 'Edward Fox', 'Uma Thurman']",6.2
754,Gold Diggers: The Secret of Bear Mountain (1995),Adventure|Children,113188,https://www.imdb.com/title/tt0113188/,Gold Diggers: The Secret of Bear Mountain,1995,"A city girl teams up with a tomboy to solve the mystery of Bear Mountain, Molly Morgan, and the buried treasure as well as learn about true friendships.",1h 33m,['Kevin James Dobson'],['Barry Glasser'],"['Christina Ricci', 'Anna Chlumsky', 'Polly Draper']",5.9
755,Kim (1950),Children|Drama,42644,https://www.imdb.com/title/tt0042644/,Kim,1950,"During the British Raj, the orphan of a British soldier poses as a Hindu and is torn between his loyalty to a Buddhist mystic and aiding the English secret service.",1h 53m,['Victor Saville'],"['Rudyard Kipling', 'Leon Gordon', 'Helen Deutsch']","['Errol Flynn', 'Dean Stockwell', 'Paul Lukas']",6.5
759,Maya Lin: A Strong Clear Vision (1994),Documentary,110480,https://www.imdb.com/title/tt0110480/,Maya Lin: A Strong Clear Vision,1994,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,1h 45m,['Freida Lee Mock'],['Freida Lee Mock'],['Maya Lin'],7.4
760,Stalingrad (1993),Drama|War,108211,https://www.imdb.com/title/tt0108211/,Stalingrad,1993,"The story follows a group of German soldiers, from their Italian R&R in the summer of 1942 to the frozen steppes of Soviet Russia and ending with the battle for Stalingrad.",2h 14m,['Joseph Vilsmaier'],"['JÃ¼rgen BÃ¼scher', 'Christoph Fromm', 'Johannes Heide']","['Dominique Horwitz', 'Thomas Kretschmann', 'Jochen Nickel']",7.5
761,"Phantom, The (1996)",Action|Adventure,117331,https://www.imdb.com/title/tt0117331/,The Phantom,1996,"The Phantom, descendent of a line of African superheroes, travels to New York City to thwart a wealthy criminal genius from obtaining three magic skulls which would give him the secret to ultimate power.",1h 40m,['Simon Wincer'],"['Lee Falk', 'Jeffrey Boam']","['Billy Zane', 'Kristy Swanson', 'Treat Williams']",5.0
762,Striptease (1996),Comedy|Crime,117765,https://www.imdb.com/title/tt0117765/,Striptease,1996,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,1h 55m,['Andrew Bergman'],"['Carl Hiaasen', 'Andrew Bergman']","['Demi Moore', 'Burt Reynolds', 'Armand Assante']",4.5
764,Heavy (1995),Drama|Romance,113280,https://www.imdb.com/title/tt0113280/,Heavy,1995,"The life of an overweight, unhappy cook is changed after a kind, beautiful college drop-out comes to work as a waitress at his and his mother's road-side restaurant.",1h 45m,['James Mangold'],['James Mangold'],"['Pruitt Taylor Vince', 'Liv Tyler', 'Shelley Winters']",6.8
765,Jack (1996),Comedy|Drama,116669,https://www.imdb.com/title/tt0116669/,Jack,1996,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.",1h 53m,['Francis Ford Coppola'],"['James DeMonaco', 'Gary Nadeau']","['Robin Williams', 'Diane Lane', 'Brian Kerwin']",5.8
766,I Shot Andy Warhol (1996),Drama,116594,https://www.imdb.com/title/tt0116594/,I Shot Andy Warhol,1996,"This is the story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce. After many times of ignoring her, Valerie shot him.",1h 43m,['Mary Harron'],"['Jeremiah Newton', 'Diane Tucker', 'Mary Harron']","['Lili Taylor', 'Jared Harris', 'Martha Plimpton']",6.6
767,"Grass Harp, The (1995)",Comedy|Drama,113211,https://www.imdb.com/title/tt0113211/,The Grass Harp,1995,"Becoming an orphan in 1935, Collin moves to his dad's cousins Verena and Dolly. Verena is a rich, bossy businesswoman. Dolly, Collin and the maid revolt, moving to a tree house.",1h 47m,['Charles Matthau'],"['Truman Capote', 'Stirling Silliphant', 'Kirk Ellis']","['Piper Laurie', 'Sissy Spacek', 'Walter Matthau']",7.8
769,Marlene Dietrich: Shadow and Light (1996),Documentary,116992,https://www.imdb.com/title/tt0116992/,Marlene Dietrich: Shadow and Light,1996,"Following the life of Marlene Dietrich through her films (including home movies) and interviews with family, friends, co-workers, acquaintances, and presumed lovers. From the cabaret scene in 1920's Berlin, silent films in Germany, her triumph in _The Blue Angel_ in 1930 (for which her screen test is included in this film), to Hollywood with Josef von Sternberg. The h... Read all",52m,['Chris Hunt'],[],"['Marlene Dietrich', 'Maria Riva', 'David Riva']",7.1
771,"Vie est belle, La (Life is Rosey) (1987)",Comedy|Drama,94265,https://www.imdb.com/title/tt0094265/,Life Is Rosy,1987,"Kourou comes from a village to Kinshasa, Zaire's capital and the center of World Beat; music is in his heart and he has big dreams. Right away he gets a job as a domestic for Mamou, the loud wife of a club owner, and he falls in love with Kabibi, a virginal young woman who wants to be a secretary. Meanwhile, Nvouandou, the club owner, childless after twenty years of m... Read all",1h 20m,"['BenoÃ®t Lamy', 'Mweze Ngangura']","['BenoÃ®t Lamy', 'Maryse LeÃ³n GarcÃ­a', 'Mweze Ngangura']","['Papa Wemba', 'Bibi Krubwa', 'Landu Nzunzimbu Matshia']",5.8
775,Spirits of the Dead (Tre Passi nel Delirio) (1968),Horror|Mystery,63715,https://www.imdb.com/title/tt0063715/,Spirits of the Dead,1968,"Anthology film from three European directors based on stories by Edgar Allan Poe: a cruel princess haunted by a ghostly horse, a sadistic young man haunted by his double, and an alcoholic actor haunted by the Devil.",2h 1m,"['Federico Fellini', 'Louis Malle', 'Roger Vadim']","['Edgar Allan Poe', 'Roger Vadim', 'Pascal Cousin']","['Jane Fonda', 'Brigitte Bardot', 'Alain Delon']",6.5
778,Trainspotting (1996),Comedy|Crime|Drama,117951,https://www.imdb.com/title/tt0117951/,Trainspotting,1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1h 33m,['Danny Boyle'],"['Irvine Welsh', 'John Hodge']","['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller']",8.1
779,'Til There Was You (1997),Drama|Romance,118523,https://www.imdb.com/title/tt0118523/,'Til There Was You,1997,"Two strangers, whose paths are always crossing, finally meet when fate steps in.",1h 53m,['Scott Winant'],['Winnie Holzman'],"['Jeanne Tripplehorn', 'Dylan McDermott', 'John Plumpis']",4.8
780,Independence Day (ID4) (1996),Action|Adventure|Sci-Fi|Thriller,116629,https://www.imdb.com/title/tt0116629/,Independence Day,1996,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",2h 25m,['Roland Emmerich'],"['Dean Devlin', 'Roland Emmerich']","['Will Smith', 'Bill Pullman', 'Jeff Goldblum']",7.0
781,Stealing Beauty (1996),Drama,117737,https://www.imdb.com/title/tt0117737/,Stealing Beauty,1996,"After her mother commits suicide, a young woman travels to Italy in search of love, truth and a deeper connection with herself.",1h 58m,['Bernardo Bertolucci'],"['Bernardo Bertolucci', 'Susan Minot']","['Jeremy Irons', 'Liv Tyler', 'Carlo Cecchi']",6.5
782,"Fan, The (1996)",Drama|Thriller,116277,https://www.imdb.com/title/tt0116277/,The Fan,1996,An all star baseball player becomes the unhealthy focus of a down on his luck salesman.,1h 56m,['Tony Scott'],"['Peter Abrahams', 'Phoef Sutton']","['Robert De Niro', 'Wesley Snipes', 'Ellen Barkin']",5.9
783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance,116583,https://www.imdb.com/title/tt0116583/,The Hunchback of Notre Dame,1996,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",1h 31m,"['Gary Trousdale', 'Kirk Wise']","['Tab Murphy', 'Victor Hugo', 'Irene Mecchi']","['Demi Moore', 'Jason Alexander', 'Mary Kay Bergman']",7.0
784,"Cable Guy, The (1996)",Comedy|Thriller,115798,https://www.imdb.com/title/tt0115798/,The Cable Guy,1996,"A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.",1h 36m,['Ben Stiller'],['Lou Holtz Jr.'],"['Jim Carrey', 'Matthew Broderick', 'Leslie Mann']",6.1
785,Kingpin (1996),Comedy,116778,https://www.imdb.com/title/tt0116778/,Kingpin,1996,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",1h 54m,"['Bobby Farrelly', 'Peter Farrelly']","['Barry Fanaro', 'Mort Nathan']","['Woody Harrelson', 'Randy Quaid', 'Bill Murray']",6.9
786,Eraser (1996),Action|Drama|Thriller,116213,https://www.imdb.com/title/tt0116213/,Eraser,1996,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,1h 55m,['Chuck Russell'],"['Tony Puryear', 'Walon Green', 'Michael S. Chernuchin']","['Arnold Schwarzenegger', 'Vanessa Williams', 'James Caan']",6.1
788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,117218,https://www.imdb.com/title/tt0117218/,The Nutty Professor,1996,Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,1h 35m,['Tom Shadyac'],"['Jerry Lewis', 'Bill Richmond', 'David Sheffield']","['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn']",5.6
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Drama,106810,https://www.imdb.com/title/tt0106810/,En compagnie d'Antonin Artaud,1993,"May, 1946, in Paris young poet Jacques Prevel meets Antonin Artaud, the actor, artist and writer just released from a mental asylum. Over ten months, we follow the mad Artaud from his cruel coaching of an actress in his ""theatre of cruelty"" to his semi-friendship with Prevel who buys him drugs and hangs on his every word. Meanwhile, Prevel divides his time between Jan... Read all",1h 30m,['GÃ©rard Mordillat'],"['GÃ©rard Mordillat', 'Jacques Prevel', 'JÃ©rÃ´me Prieur']","['Sami Frey', 'Marc BarbÃ©', 'Julie JÃ©zÃ©quel']",6.8
798,Daylight (1996),Action|Adventure|Drama|Thriller,116040,https://www.imdb.com/title/tt0116040/,Daylight,1996,Disaster in a New York tunnel as explosions collapse both ends of it. One hero tries to help the people inside find their way to safety.,1h 54m,['Rob Cohen'],['Leslie Bohem'],"['Sylvester Stallone', 'Amy Brenneman', 'Viggo Mortensen']",5.9
799,"Frighteners, The (1996)",Comedy|Horror|Thriller,116365,https://www.imdb.com/title/tt0116365/,The Frighteners,1996,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.",1h 50m,['Peter Jackson'],"['Fran Walsh', 'Peter Jackson']","['Michael J. Fox', 'Trini Alvarado', 'Peter Dobson']",7.1
800,Lone Star (1996),Drama|Mystery|Western,116905,https://www.imdb.com/title/tt0116905/,Lone Star,1996,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",2h 15m,['John Sayles'],['John Sayles'],"['Chris Cooper', 'Elizabeth PeÃ±a', 'Stephen Mendillo']",7.4
801,Harriet the Spy (1996),Children|Comedy,116493,https://www.imdb.com/title/tt0116493/,Harriet the Spy,1996,Harriet M. Welsch is a spy. But when her friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?,1h 40m,['Bronwen Hughes'],"['Louise Fitzhugh', 'Greg Taylor', 'Julie Talen']","['Michelle Trachtenberg', ""Rosie O'Donnell"", 'Gregory Smith']",5.9
802,Phenomenon (1996),Drama|Romance,117333,https://www.imdb.com/title/tt0117333/,Phenomenon,1996,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",2h 3m,['Jon Turteltaub'],['Gerald Di Pego'],"['John Travolta', 'Kyra Sedgwick', 'Forest Whitaker']",6.4
803,Walking and Talking (1996),Comedy|Drama|Romance,118113,https://www.imdb.com/title/tt0118113/,Walking and Talking,1996,"Just as Amelia thinks she's over her anxiety and insecurity, her best friend announces her engagement, bringing her anxiety and insecurity right back.",1h 26m,['Nicole Holofcener'],['Nicole Holofcener'],"['Catherine Keener', 'Anne Heche', 'Amy Braverman']",6.7
804,She's the One (1996),Comedy|Romance,117628,https://www.imdb.com/title/tt0117628/,She's the One,1996,"The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger.",1h 36m,['Edward Burns'],['Edward Burns'],"['Edward Burns', 'Jennifer Aniston', 'John Mahoney']",6.0
805,"Time to Kill, A (1996)",Drama|Thriller,117913,https://www.imdb.com/title/tt0117913/,A Time to Kill,1996,"In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",2h 29m,['Joel Schumacher'],"['John Grisham', 'Akiva Goldsman']","['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson']",7.4
